run,step,mark_price,index_price,funding_rate,cumulative_funding_index,oi_long,oi_short,insurance_fund_balance,liquidations_this_step,total_liquidations,total_collateral_locked,protocol_insolvent,funding_paid_longs,funding_received_longs
0,28,55206.774049501735,53286.560709965954,0.0075,0.8969854877333342,112088.26571980884,37771.42952419081,100375.0,0,5,25000.0,0,3627.4664447783107,5173.8491097288115
0,29,55153.37351149219,54435.8450068736,0.0075,0.9044854877333341,112088.26571980884,37771.42952419081,100375.0,0,5,25000.0,0,4468.128437676877,5173.8491097288115
0,30,54338.832473413335,54270.40188149651,0.0075,0.9119854877333341,112088.26571980884,37771.42952419081,100375.0,0,5,25000.0,0,5308.790430575444,5173.8491097288115
0,31,53802.47562296517,54048.86493048856,0.0012609192035512992,0.9132464069368854,112088.26571980884,59060.39999667242,100375.0,0,5,25000.0,0,5450.124677314311,5173.8491097288115
0,32,53636.10115530189,54430.11825373164,-0.0045586398130704735,0.9086877671238149,121916.72130451255,59060.39999667242,100375.0,0,5,25000.0,0,5450.124677314311,5684.819140417155
0,33,53295.76374361872,53051.58065285972,-0.0075,0.901187767123815,121916.72130451255,79727.4090633032,100375.0,0,5,25000.0,0,5450.124677314311,6599.1945502009985
0,34,53129.61624571872,53913.85243048113,0.0046027486411159765,0.905790515764931,121916.72130451255,69727.4090633032,100375.0,0,5,25000.0,0,6011.276700627972,6599.1945502009985
0,35,53423.633430491456,55420.32847176126,-0.0075,0.898290515764931,121916.72130451255,69727.4090633032,100375.0,0,5,25000.0,0,6011.276700627972,7513.569959984843
0,36,53874.49877251599,55204.05163719885,-0.0075,0.8907905157649311,121916.72130451255,70895.50847221077,100375.0,0,5,25000.0,0,6011.276700627972,8427.945369768688
0,37,54266.184306058814,54492.56866797579,-0.0075,0.8832905157649311,121916.72130451255,70895.50847221077,100375.0,0,5,25000.0,0,6011.276700627972,9342.320779552532
