step,mark_price,index_price,funding_rate,cum_funding,insurance_fund,liquidations,positions_alive,insolvent,iota_violated,leverage_violated
24,49041.666666666664,49083.333333333336,-0.0008488964346350733,-0.019344588630269582,100000.0,0,40,False,False,False
25,49000.0,49000.0,0.0,-0.019344588630269582,100000.0,0,40,False,False,False
26,48959.166666666664,49000.0,-0.0008333333333333828,-0.020177921963602966,100000.0,0,40,False,False,False
27,48918.333333333336,48959.166666666664,-0.0008340283569640378,-0.021011950320567005,100000.0,0,40,False,False,False
28,48877.5,48918.333333333336,-0.0008347245409015521,-0.021846674861468556,100000.0,0,40,False,False,False
29,48836.666666666664,48877.5,-0.0008354218880535166,-0.02268209674952207,100000.0,0,40,False,False,False
30,48795.833333333336,48836.666666666664,-0.0008361204013376933,-0.023518217150859767,100000.0,0,40,False,False,False
31,48755.0,48795.833333333336,-0.0008368200836820581,-0.024355037234541826,100000.0,0,40,False,False,False
32,48714.166666666664,48755.0,-0.0008375209380235004,-0.025192558172565327,100000.0,0,40,False,False,False
33,48673.333333333336,48714.166666666664,-0.0008382229673092048,-0.02603078113987453,100000.0,0,40,False,False,False
34,48632.5,48673.333333333336,-0.000838926174496694,-0.026869707314371227,100000.0,0,40,False,False,False
35,48591.666666666664,48632.5,-0.0008396305625525268,-0.027709337876923753,100000.0,0,40,False,False,False
36,48550.833333333336,48591.666666666664,-0.0008403361344536817,-0.028549674011377434,100000.0,0,40,False,False,False
37,48510.0,48550.833333333336,-0.0008410428931876025,-0.029390716904565038,100000.0,0,40,False,False,False
38,48469.166666666664,48510.0,-0.0008417508417508917,-0.03023246774631593,100000.0,0,40,False,False,False
39,48428.333333333336,48469.166666666664,-0.0008424599831507003,-0.03107492772946663,100000.0,0,40,False,False,False
40,48387.5,48428.333333333336,-0.0008431703204047718,-0.031918098049871405,100000.0,0,40,False,False,False
41,48346.666666666664,48387.5,-0.0008438818565401345,-0.03276197990641154,100000.0,0,40,False,False,False
42,48305.833333333336,48346.666666666664,-0.0008445945945944944,-0.033606574501006035,100000.0,0,40,False,False,False
43,48265.0,48305.833333333336,-0.0008453085376162801,-0.034451883038622316,100000.0,0,40,False,False,False
44,48224.166666666664,48265.0,-0.0008460236886633328,-0.03529790672728565,100000.0,0,40,False,False,False
45,48183.333333333336,48224.166666666664,-0.0008467400508043025,-0.036144646778089956,100000.0,0,40,False,False,False
46,48142.5,48183.333333333336,-0.0008474576271186944,-0.03699210440520865,100000.0,0,40,False,False,False
47,48101.666666666664,48142.5,-0.0008481764206955551,-0.0378402808259042,100000.0,0,40,False,False,False
48,48060.833333333336,48101.666666666664,-0.0008488964346348737,-0.038689177260539075,100000.0,0,40,False,False,False
49,48020.0,48020.0,0.0,-0.038689177260539075,100000.0,0,40,False,False,False
50,47979.98333333333,48020.0,-0.0008333333333334041,-0.039522510593872476,100000.0,0,40,False,False,False
51,47939.96666666667,47979.98333333333,-0.000834028356964056,-0.04035653895083653,100000.0,0,40,False,False,False
52,47899.95,47939.96666666667,-0.0008347245409015733,-0.04119126349173811,100000.0,0,40,False,False,False
53,47859.933333333334,47899.95,-0.0008354218880533861,-0.04202668537979149,100000.0,0,40,False,False,False
54,47819.916666666664,47859.933333333334,-0.0008361204013378635,-0.04286280578112935,100000.0,0,40,False,False,False
55,47779.9,47819.916666666664,-0.0008368200836819272,-0.04369962586481128,100000.0,0,40,False,False,False
56,47739.88333333333,47779.9,-0.0008375209380235216,-0.0445371468028348,100000.0,0,40,False,False,False
57,47699.86666666667,47739.88333333333,-0.0008382229673092231,-0.045375369770144024,100000.0,0,40,False,False,False
58,47659.85,47699.86666666667,-0.0008389261744967154,-0.046214295944640736,100000.0,0,40,False,False,False
59,47619.833333333336,47659.85,-0.0008396305625523955,-0.04705392650719313,100000.0,0,40,False,False,False
60,47579.816666666666,47619.833333333336,-0.0008403361344538528,-0.047894262641646985,100000.0,0,40,False,False,False
61,47539.8,47579.816666666666,-0.000841042893187471,-0.048735305534834454,100000.0,0,40,False,False,False
